,smart_12_raw,smart_197_raw,smart_187_raw,smart_4_raw,smart_5_raw,smart_189_raw,smart_183_raw,smart_199_raw,smart_198_raw,smart_188_raw,smart_194_raw,smart_190_raw,smart_3_raw,smart_184_raw,smart_192_raw,smart_191_raw
0,19.0,0.0,0.0,19.0,0.0,15.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,4.0,0.0
1,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,6.0,0.0
2,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,2.0,0.0
3,5.0,16.0,8.0,5.0,8.0,0.0,2.0,0.0,16.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0
4,8.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0
5,18.0,0.0,0.0,17.0,0.0,23.0,1.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,4.0,0.0
6,13.0,136.0,4.0,13.0,0.0,4.0,1.0,0.0,136.0,0.0,23.0,23.0,0.0,0.0,2.0,0.0
7,21.0,1.0,6.0,21.0,0.0,0.0,0.0,0.0,1.0,15.0,28.0,28.0,0.0,0.0,0.0,2.0
8,3.0,20616.0,11.0,3.0,8.0,0.0,0.0,0.0,20616.0,0.0,46.0,46.0,0.0,0.0,0.0,2058.0
9,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,1.0,0.0
10,3.0,80.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1997.0,0.0,0.0,0.0
11,13.0,32.0,10.0,14.0,64.0,0.0,0.0,0.0,32.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0
12,17.0,16.0,8.0,20.0,16.0,0.0,0.0,0.0,16.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0
13,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,28.0,1648.0
14,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0
15,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0
16,17.0,88.0,0.0,16.0,2488.0,4.0,1.0,1.0,88.0,0.0,23.0,23.0,0.0,0.0,4.0,0.0
17,15.0,224.0,6.0,15.0,0.0,0.0,0.0,0.0,224.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0
18,8.0,168.0,0.0,8.0,0.0,1.0,0.0,0.0,168.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0
19,4.0,8.0,18.0,4.0,0.0,0.0,2.0,0.0,8.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0
20,7.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0
21,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,444.0,0.0,7.0,0.0
22,7.0,0.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0
23,3.0,32.0,13.0,3.0,128.0,0.0,0.0,0.0,32.0,0.0,37.0,37.0,0.0,0.0,17.0,15966.0
24,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,2.0,11089.0
25,21.0,416.0,0.0,21.0,0.0,7.0,0.0,1.0,416.0,0.0,28.0,28.0,0.0,0.0,7.0,0.0
26,3.0,0.0,28.0,3.0,8720.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,1.0,77950.0
27,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,3.0,0.0
28,3.0,40.0,12.0,3.0,168.0,0.0,0.0,0.0,40.0,0.0,41.0,41.0,0.0,0.0,9.0,2711.0
29,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0
30,3.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,17.0,0.0
31,8.0,8.0,18.0,9.0,0.0,0.0,2.0,0.0,8.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0
32,8.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0
33,22.0,0.0,0.0,22.0,0.0,18.0,1.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,2.0,0.0
34,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,439.0,0.0,62.0,0.0
35,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21475164165.0,38.0,38.0,0.0,0.0,3.0,0.0
36,2.0,0.0,0.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,2.0,2646.0
37,7.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0
38,14.0,488.0,0.0,14.0,432.0,47.0,0.0,0.0,488.0,0.0,18.0,18.0,0.0,0.0,3.0,0.0
39,4.0,32.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1357.0,0.0,0.0,0.0
40,1.0,8.0,59.0,1.0,22544.0,0.0,0.0,0.0,8.0,0.0,41.0,41.0,0.0,0.0,46.0,6596.0
41,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0
42,10.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,1.0,0.0
43,53.0,0.0,0.0,52.0,0.0,1.0,0.0,2.0,0.0,81.0,31.0,31.0,0.0,0.0,14.0,0.0
44,15.0,48.0,7.0,15.0,48.0,5.0,0.0,0.0,48.0,1.0,20.0,20.0,0.0,0.0,2.0,0.0
45,16.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,8116.0,0.0,7.0,0.0
46,8.0,40.0,12.0,8.0,8.0,0.0,0.0,0.0,40.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0
47,7.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0
48,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1818.0,0.0,0.0,12051.0
49,11.0,160.0,87.0,11.0,0.0,0.0,2.0,0.0,160.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0
50,2.0,24.0,12.0,3.0,24.0,0.0,1.0,0.0,24.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0
51,16.0,696.0,11.0,16.0,0.0,0.0,0.0,0.0,696.0,2.0,28.0,28.0,0.0,0.0,0.0,0.0
52,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0
53,11.0,8.0,7.0,11.0,616.0,0.0,0.0,0.0,8.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0
54,35.0,328.0,0.0,35.0,0.0,0.0,0.0,0.0,328.0,0.0,21.0,21.0,0.0,0.0,20.0,0.0
55,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,3644.0
56,6.0,8.0,18.0,6.0,0.0,0.0,2.0,0.0,8.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0
57,2.0,0.0,1.0,2.0,120.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,4.0,1977.0
58,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0
59,21.0,0.0,0.0,21.0,0.0,3.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,7.0,0.0
60,7.0,344.0,2.0,7.0,0.0,8.0,0.0,0.0,344.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0
61,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,8766.0,0.0,4.0,0.0
62,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,3030.0
63,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,117.0,0.0
64,22.0,0.0,0.0,22.0,0.0,6.0,0.0,0.0,0.0,1.0,21.0,21.0,0.0,0.0,8.0,0.0
65,34.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,62.0,1329.0
66,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0
67,13.0,168.0,6.0,13.0,0.0,0.0,0.0,0.0,168.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0
68,18.0,8.0,6.0,19.0,0.0,3.0,0.0,0.0,8.0,0.0,25.0,25.0,0.0,0.0,7.0,0.0
69,4.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,51.0,51.0,0.0,0.0,3.0,20222.0
70,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0
71,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0
72,7.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0
73,9.0,216.0,12.0,9.0,24.0,0.0,1.0,0.0,216.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0
74,4.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0
75,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0
76,21.0,120.0,1.0,21.0,0.0,10.0,1.0,0.0,120.0,0.0,20.0,20.0,0.0,0.0,2.0,0.0
77,5.0,168.0,30.0,6.0,16.0,0.0,2.0,0.0,168.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0
78,38.0,88.0,0.0,38.0,0.0,9.0,0.0,0.0,88.0,0.0,24.0,24.0,0.0,0.0,24.0,0.0
79,20.0,1000.0,1.0,19.0,760.0,2.0,0.0,0.0,1000.0,0.0,28.0,28.0,0.0,0.0,6.0,0.0
80,2.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,36152.0
81,15.0,104.0,14.0,15.0,0.0,2.0,0.0,0.0,104.0,0.0,20.0,20.0,0.0,0.0,2.0,0.0
82,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,39.0,0.0,0.0
83,3.0,80.0,9.0,3.0,8.0,0.0,0.0,0.0,80.0,0.0,18.0,18.0,0.0,0.0,1.0,0.0
84,11.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,2045.0,0.0,0.0,0.0
85,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0
86,2.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,51.0,51.0,0.0,0.0,0.0,11654.0
87,4.0,0.0,5.0,4.0,5640.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,10545.0
88,14.0,168.0,1.0,14.0,8.0,1.0,0.0,0.0,168.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0
89,1.0,0.0,39.0,1.0,27376.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,3.0,12138.0
90,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,0.0
91,19.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,18.0,6.0,0.0
