,date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_22_normalized,smart_22_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
0,2017-01-01,S300WEE9,ST4000DM000,4000787030016,0,117,131406696,,,97,0,100,5,100,0,87,498925953,,,86,12514,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,100.0,0.0,77.0,47316.0,31,31,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12263.0,100.0,38190034776.0,100.0,9946391945.0,,,,,,,,,,
23,2017-01-02,S300WEE9,ST4000DM000,4000787030016,0,117,164273808,,,97,0,100,5,100,0,87,500426005,,,86,12538,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,100.0,0.0,77.0,47316.0,31,31,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12287.0,100.0,38220817704.0,100.0,9972156874.0,,,,,,,,,,
43,2017-01-03,S300WEE9,ST4000DM000,4000787030016,0,114,60623256,,,97,0,100,5,100,0,87,501572597,,,86,12562,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,100.0,0.0,77.0,47316.0,31,31,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12311.0,100.0,38255445288.0,100.0,9999128883.0,,,,,,,,,,
71,2017-01-04,S300WEE9,ST4000DM000,4000787030016,0,118,196498400,,,97,0,100,5,100,0,87,502188514,,,86,12586,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,77.0,47316.0,30,30,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12335.0,100.0,38303037712.0,100.0,10010450035.0,,,,,,,,,,
29,2017-01-05,S300WEE9,ST4000DM000,4000787030016,0,117,161079608,,,97,0,100,5,100,0,87,502856366,,,86,12610,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,100.0,0.0,77.0,47317.0,31,31,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12359.0,100.0,38351924768.0,100.0,10026510222.0,,,,,,,,,,
61,2017-01-06,S300WEE9,ST4000DM000,4000787030016,0,119,232586712,,,97,0,100,5,100,0,87,504046863,,,86,12634,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,100.0,0.0,77.0,47317.0,31,31,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12383.0,100.0,38394497152.0,100.0,10052432779.0,,,,,,,,,,
48,2017-01-07,S300WEE9,ST4000DM000,4000787030016,0,118,169282344,,,97,0,100,5,100,0,87,504697752,,,86,12658,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,100.0,0.0,77.0,47317.0,32,32,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12407.0,100.0,38444280848.0,100.0,10067065438.0,,,,,,,,,,
79,2017-01-08,S300WEE9,ST4000DM000,4000787030016,0,114,75853712,,,97,0,100,5,100,0,87,505248022,,,86,12682,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,77.0,47318.0,30,30,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12431.0,100.0,38485964256.0,100.0,10079331550.0,,,,,,,,,,
59,2017-01-09,S300WEE9,ST4000DM000,4000787030016,0,117,165191608,,,97,0,100,5,100,0,87,505856162,,,86,12706,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,77.0,47318.0,30,30,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12455.0,100.0,38533918856.0,100.0,10089975703.0,,,,,,,,,,
18,2017-01-10,S300WEE9,ST4000DM000,4000787030016,0,116,116123328,,,97,0,100,5,100,0,87,507067427,,,86,12730,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,100.0,0.0,77.0,47318.0,31,31,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12479.0,100.0,38583089032.0,100.0,10115642383.0,,,,,,,,,,
54,2017-01-11,S300WEE9,ST4000DM000,4000787030016,0,117,153454248,,,97,0,100,5,100,0,87,508751102,,,86,12754,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,100.0,0.0,77.0,47319.0,31,31,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12503.0,100.0,38634895496.0,100.0,10143089929.0,,,,,,,,,,
56,2017-01-12,S300WEE9,ST4000DM000,4000787030016,0,120,236335368,,,97,0,100,5,100,0,87,509351962,,,86,12778,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,100.0,0.0,77.0,47319.0,31,31,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12527.0,100.0,38685975152.0,100.0,10152460246.0,,,,,,,,,,
50,2017-01-13,S300WEE9,ST4000DM000,4000787030016,0,108,14759656,,,97,0,100,5,100,0,87,510651373,,,86,12802,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,100.0,0.0,77.0,47319.0,31,31,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12551.0,100.0,38739049672.0,100.0,10179505675.0,,,,,,,,,,
33,2017-01-14,S300WEE9,ST4000DM000,4000787030016,0,111,32988392,,,97,0,100,5,100,0,87,511104477,,,86,12826,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,100.0,0.0,77.0,47319.0,31,31,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12575.0,100.0,38776218408.0,100.0,10187292204.0,,,,,,,,,,
80,2017-01-15,S300WEE9,ST4000DM000,4000787030016,0,117,160724472,,,97,0,100,5,100,0,87,511608356,,,86,12850,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,100.0,0.0,77.0,47319.0,32,32,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12599.0,100.0,38811613144.0,100.0,10197373340.0,,,,,,,,,,
32,2017-01-16,S300WEE9,ST4000DM000,4000787030016,0,118,175906064,,,97,0,100,5,100,0,87,512064028,,,86,12874,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,100.0,0.0,100.0,0.0,77.0,47319.0,32,32,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12623.0,100.0,38845967016.0,100.0,10204754558.0,,,,,,,,,,
39,2017-01-17,S300WEE9,ST4000DM000,4000787030016,0,114,74240728,,,97,0,100,5,100,0,87,513277515,,,86,12898,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,77.0,47319.0,30,30,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12647.0,100.0,38889722280.0,100.0,10230546037.0,,,,,,,,,,
52,2017-01-18,S300WEE9,ST4000DM000,4000787030016,0,111,31513376,,,97,0,100,5,100,0,87,513916055,,,86,12922,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,77.0,47320.0,30,30,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12671.0,100.0,38938260592.0,100.0,10245525882.0,,,,,,,,,,
81,2017-01-19,S300WEE9,ST4000DM000,4000787030016,0,113,52983000,,,97,0,100,5,100,0,87,514372218,,,86,12946,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,100.0,0.0,77.0,47320.0,28,28,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12694.0,100.0,38973778776.0,100.0,10254443261.0,,,,,,,,,,
85,2017-01-20,S300WEE9,ST4000DM000,4000787030016,0,117,150640208,,,97,0,100,5,100,0,87,515581070,,,86,12970,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,100.0,0.0,77.0,47320.0,27,27,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12718.0,100.0,39020155664.0,100.0,10279446725.0,,,,,,,,,,
51,2017-01-21,S300WEE9,ST4000DM000,4000787030016,0,109,21194720,,,97,0,100,5,100,0,87,517120645,,,86,12994,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,100.0,0.0,77.0,47320.0,27,27,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12743.0,100.0,39060456648.0,100.0,10303726506.0,,,,,,,,,,
24,2017-01-22,S300WEE9,ST4000DM000,4000787030016,0,113,52893880,,,97,0,100,5,100,0,87,517621803,,,86,13018,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,100.0,0.0,77.0,47320.0,27,27,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12767.0,100.0,39100346656.0,100.0,10311559310.0,,,,,,,,,,
26,2017-01-23,S300WEE9,ST4000DM000,4000787030016,0,116,110811472,,,97,0,100,5,100,0,87,518174726,,,86,13042,100,0,,,100,3,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,100.0,0.0,77.0,47320.0,28,28,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,12791.0,100.0,39141804408.0,100.0,10321023647.0,,,,,,,,,,
